Número	Foto	A levar	Check-in	Nome	Descrição	Objetivo	Como Funciona?	Conceitos Chave	QR-code IG	Link IG	QR-code Fotos	Link Fotos	QR-code Youtube	Link Youtube	Situação	Observação	Tipo	Setor	Percurso	Acessórios	Eventos C	Eventos	Dimensões (L x C x A)	Peso (Kg)	Valor Aproximado  (R$)	Local
P055		FALSE	TRUE	Câmara Equilátera	Câmara triangular de MDF com espelhos internos e conjunto de nove peças coloridas.	Visualizar simetrias de reflexão, rotação e translação por meio de três espelhos em forma de triângulo equilátero.	As múltiplas reflexões criam o padrão periódico p6m.	Reflexão múltipla, rotação, translação, papel de parede p6m, periodicidade.		https://drive.google.com/file/d/15j8LvSzhZeQtHyUo9MCP9Z5g4W_3BK2l/view?usp=sharing		https://photos.app.goo.gl/7PJLwNrNgipdKUFg7		https://www.youtube.com/playlist?list=PLHiOaPPoa2tAFvMVZ-iHUMcJV591hgmEK	4	Verificar se as peças do quebra cabeça estão corretas e pintar/encontrar peças novas	Peça	Simetrias	Papéis de Parede	xxxx	E001;E002;E003;E007;E004	E001;E002;E003;E007;E004	67 cm x 58 cm x 30 cm	12,60000	R$ 400,00	LDM
P056		FALSE	TRUE	Câmara Isósceles	Câmara triangular de espelhos em MDF, com peças coloridas e gabaritos.	Explorar simetrias geradas por ângulos isósceles.	Reflexões e rotações de 120° criam padrões periódicos.	Reflexão múltipla, rotação, papel de parede p3m1/p31m.		https://drive.google.com/file/d/19Pm5wpIP-wi4NesnX3Md6khFdtN_eO6E/view?usp=sharing		https://photos.app.goo.gl/fuNyBs4KC5MrEr649		https://www.youtube.com/playlist?list=PLHiOaPPoa2tBVaXOx6oBSTMLJ6z2LRo6p	4	Verificar se as peças do quebra cabeça estão corretas e pintar/encontrar peças novas	Peça	Simetrias	Papéis de Parede	xxxx	E001;E002;E003;E007;EM01;E004	E001;E002;E003;E007;EM01;E004	75 cm x 39 cm x 30 cm	11,50000	R$400,00	LDM
P057		FALSE	TRUE	Câmara Escalena	Câmara triangular de MDF com espelhos em ângulos desiguais.	Demonstrar padrões de simetria irregulares por reflexões múltiplas.	As reflexões geram composições de rotações não regulares.	Reflexão, rotação, translação, papel de parede p2/pmg.		https://drive.google.com/file/d/1jEMprfbIbVgVKtlCwKkWojYfogYcJXFV/view?usp=sharing		https://photos.app.goo.gl/Co4bWb9NLfxrWiCH6		https://www.youtube.com/playlist?list=PLHiOaPPoa2tAvJ_Fg2rjlwZP2k_A_wplJ	4	Verificar se as peças do quebra cabeça estão corretas e pintar/encontrar peças novas	Peça	Simetrias	Papéis de Parede	xxxx	E001;E002;E003;E007;E004	E001;E002;E003;E007;E004	95 cm x 50 cm x 30 cm	14,90000	R$ 400,00	LDM
P058		FALSE	TRUE	Câmara Quadrada - 1 fissura	Câmara de MDF com quatro espelhos em forma quadrada, abertura lateral e conjunto de azulejos.	Explorar simetrias de reflexão e rotação ortogonal.	Reflexões ortogonais criam o padrão p4m.	Reflexão, rotação, simetria ortogonal, papel de parede p4m.		https://drive.google.com/file/d/1l5YdSqHP-hsyuAz6PDlYWJdYqYomEdea/view?usp=sharing		https://photos.app.goo.gl/A6NA4yQbZZsypDdM7		https://www.youtube.com/playlist?list=PLHiOaPPoa2tBChEiS1DgmljU-6Tuc9QyC	4	Tirar com Tiner as colas de adesivos	Peça	Simetrias	Papéis de Parede	A035	E001;E002;E003;E007;E004	E001;E002;E003;E007;E004	22 cm x 22 cm x 19 cm	3,90000	R$200,00	LDM
P059		FALSE	TRUE	Câmara Retangular	Câmara de MDF com espelhos dispostos em forma retangular e conjunto de figuras coloridas.	Visualizar simetrias ortogonais com reflexões duplas.	Reflexões sucessivas criam o grupo de simetria pmm.	Reflexão dupla, rotação de 180°, periodicidade, papel de parede pmm.		https://drive.google.com/file/d/1UU0Wpm1m_qmytEpmP2W2ovtieSu4FWOS/view?usp=sharing		https://photos.app.goo.gl/ZovaDtGTuqfDYJFA9		https://www.youtube.com/playlist?list=PLHiOaPPoa2tA8B-IGOMdV-pNRwypLg0wU	4	Verificar se as peças do quebra cabeça estão corretas e pintar/encontrar peças novas	Peça	Simetrias	Papéis de Parede	xxxx	E001;E002;E003;E007;EM01;E004	E001;E002;E003;E007;EM01;E004	50 cm x 34 cm x 26 cm	9,90000	R$ 300,00	LDM
P060		FALSE	TRUE	Cabine do Infinito	Peças de madeira (fixas) MDF com acabamento do tipo marfim, espelhos, 2 tripés de madeira em MDF com acabamento do tipo marfim na forma de encaixe constituindo a base da gaiola	Visualizar simetrias de reflexão, rotação e translação através de três espelhos dispostos em forma de triângulo eqüilátero	A conjunção dos três espelhos no formato de um prisma com base triangular eqüilátera possibilita a visualização de uma classe de simetrias planas denominadas papel de parede. Isto ocorre quando o visitante se posiciona dentro da câmara	Simetria plana, Reflexões, Geometria, Papel de parede, Padrões matemáticos		https://drive.google.com/file/d/1BDKMiHILi8dvJRbjZ1aYjivOtPgFEH1H/view?usp=sharing		https://photos.app.goo.gl/znUA697eJTdxhhvu5		https://www.youtube.com/playlist?list=PLHiOaPPoa2tDSnMnzs6JI7sR1PlLmb3sN	5	xxxx	Peça	Simetrias	Papéis de Parede	A036	E001;E002;E007;EM01;E004	E001;E002;E007;EM01;E004	130 cm x 110 cm x 182 cm	30,00000	R$1.000,00	MUDI
P061		FALSE	TRUE	Diagramas de Classificação (4 painéis)	Quatro painéis em MDF com diagramas ilustrando os tipos de simetria plana.	Apresentar e explicar as classificações das simetrias planas.	Diagramas interativos conduzem a identificação do tipo de simetria.	Classificação, rosetas, frisos, papéis de parede, grupos de simetria.		https://drive.google.com/file/d/1vk-Xb0yedLHgi5yXeiwCvX0BLKWaKyAz/view?usp=sharing		https://photos.app.goo.gl/D1rQMmvPNZTZe8LK7		https://www.youtube.com/playlist?list=PLHiOaPPoa2tA9nduyExdP6nA1co-NdNrt	5	xxxx	Peça	Simetrias	Reconhecimento	xxxx	E001;E002;E003;E007	E001;E002;E003;E007	20 cm x 120 cm x 20 cm	4,40000	R$ 150,00	LDM
P062		FALSE	TRUE	Translação e Glissoreflexão	Caixa de madeira com figuras articuladas e varetas móveis para demonstração de movimentos.	Descobrir se uma figura possui simetria de translação ou glissoreflexão.	O visitante move as varetas para reproduzir os padrões de simetria.	ranslação, glissoreflexão, invariância, simetria composta.		https://drive.google.com/file/d/1w9t-dhDE5KFjBOY1FuE3fnFSOQ44PrdJ/view?usp=sharing		https://photos.app.goo.gl/vT6V9tqeqgHTaBsd7		https://www.youtube.com/playlist?list=PLHiOaPPoa2tAgC60w7_fU6aLfpfvzM2YU	5	NÃO SEI MEXER	Peça	Simetrias	Reconhecimento	A037	E001;E002;E003;E007;E004	E001;E002;E003;E007;E004	82 cm x 60 cm x 20 cm	14,50000	R$100,00	LDM
P063		FALSE	TRUE	Rotação 1	Conjunto de painéis circulares em MDF com figuras simétricas e eixo de rotação central.	Descobrir simetrias de rotação em diferentes ângulos.	O visitante gira o disco e verifica a sobreposição das figuras.	Rotação, invariância angular, ordem de simetria.		https://drive.google.com/file/d/1ju4s-H-hzZUVFx17LRFcOsBpYRKZGXBK/view?usp=sharing		https://photos.app.goo.gl/3CeeuMZhUZ5F9mij9		https://www.youtube.com/playlist?list=PLHiOaPPoa2tAgC60w7_fU6aLfpfvzM2YU	5	NÃO SEI MEXER	Peça	Simetrias	Reconhecimento	A037	E001;E002;E003;E007;E004	E001;E002;E003;E007;E004	46 cm x 46 cm x 4 cm	0,60000	R$ 100,00	LDM
P064		FALSE	TRUE	Rotação 2	Conjunto de painéis circulares em MDF com figuras simétricas e eixo de rotação central.	Descobrir simetrias de rotação em diferentes ângulos.	O visitante gira o disco e verifica a sobreposição das figuras.	Rotação, invariância angular, ordem de simetria.		https://drive.google.com/file/d/1xt-OTHG7IPQJ6x7AsdlJ6YJzdzsmwh6m/view?usp=sharing		https://photos.app.goo.gl/h62QD1ryT2xKgngx8		https://www.youtube.com/playlist?list=PLHiOaPPoa2tAgC60w7_fU6aLfpfvzM2YU	5	NÃO SEI MEXER	Peça	Simetrias	Reconhecimento	A037	E001;E002;E003;E007;E004	E001;E002;E003;E007;E004	46 cm x 46 cm x 4 cm	0,60000	R$100,00	LDM
P065		FALSE	TRUE	Rotação 3	Conjunto de painéis circulares em MDF com figuras simétricas e eixo de rotação central.	Descobrir simetrias de rotação em diferentes ângulos.	O visitante gira o disco e verifica a sobreposição das figuras.	Rotação, invariância angular, ordem de simetria.		https://drive.google.com/file/d/1X5OOQ_oVkGLN4V9UkWzeSI3wJwwiWtqx/view?usp=sharing		https://photos.app.goo.gl/6dcfwnEMZuXorJ2Q8		https://www.youtube.com/playlist?list=PLHiOaPPoa2tAgC60w7_fU6aLfpfvzM2YU	5	NÃO SEI MEXER	Peça	Simetrias	Reconhecimento	A037	E001;E002;E003;E007;E004	E001;E002;E003;E007;E004	46 cm x 46 cm x 4 cm	0,60000	R$ 100,00	LDM
P066		FALSE	TRUE	Reflexão	Painel quadrado de MDF com figuras e vareta fixa.	Identificar e compreender a simetria axial.	O visitante posiciona o eixo e compara as partes correspondentes.	Reflexão, eixo de simetria, invariância.		https://drive.google.com/file/d/1DwiJxtnk3G0nSpK8gYgks4kRFiuZw8Ck/view?usp=sharing		https://photos.app.goo.gl/VoSf2SEYPwcPh51f6		https://www.youtube.com/playlist?list=PLHiOaPPoa2tAgC60w7_fU6aLfpfvzM2YU	5	NÃO SEI MEXER	Peça	Simetrias	Reconhecimento	A037	E001;E002;E003;E007;E004	E001;E002;E003;E007;E004	40 cm x 40 cm x 4 cm	0,60000	R$100,00	LDM
P067		FALSE	TRUE	Espelhos Ustores Portátil	Peça de metal com suporte para dois refletores parabólicos, para uma lâmpada de alta potência e para um palito de fósforo e dois refletores parabólicos	Observar a propriedade reflexiva da parábola no parabolóide de revolução	Quando ligamos a lâmpada, a luz incide sobre o espelho em que a lâmpada está fixa e este faz com que esses raios sejam refletidos paralelamente para o outro espelho, pela propriedade reflexiva da parábola. Assim, esses raios paralelos direcionam-se para o foco deste outro espelho, acendendo o palito fósforo	Reflexão parabólica, foco, luz, energia, temperatura, cônicas, ilusão visual, óptica geométrica		https://drive.google.com/file/d/1R-pgCHH9p7ADWVmSByBVnNKNWbOBzOyN/view?usp=sharing		https://photos.app.goo.gl/ucpziEYUasv54Je97		https://www.youtube.com/playlist?list=PLHiOaPPoa2tAi3GR54UeUw0OioABDEAMG	5	xxxx	Peça	Geometria das Curvas e Superfícies	Cônicas	A017;A023;A039	A017;A023;A038	A017;A023;A038	28 cm x 110 cm x 36 cm	4,00000	R$ 300,00	LDM
P068		FALSE	TRUE	Programa Simis	Software para criação e visualização de simetrias planas.	Produzir figuras com diferentes grupos de simetria.	O programa aplica transformações geométricas em tempo real.	Isometria, rotação, reflexão, translação, glissoreflexão.		https://drive.google.com/file/d/1DG1WYcgndMJD4Co7rHJaaOXiKhkDZ8JG/view?usp=sharing		https://photos.app.goo.gl/55CYH4M7XJmQDvMf8		https://www.youtube.com/playlist?list=PLHiOaPPoa2tDx0QMae6qAaCYe_45KzkVK	5	Rever figuras e adpatar layout.	Peça	Simetrias	Reconhecimento	A031	E001;E002;E003;E007;E004	E001;E002;E003;E007;E004	1.039 Kb x 0 cm x 0 cm x 0 cm	0,00000	R$0,00	LDM
P069		FALSE	TRUE	Contador Binário	Peça em madeira tipo caixeta com um eixo e lâminas de metal	Apresentar a representação binária dos números de 0 a 31 através de um mecanismo de contagem que justifica o procedimento do “vai um”	O mecanismo de contagem binária funciona através do giro da primeira parte móvel localizada à direita da peça. Começando do 0, a cada giro adiciona-se 1 a contagem	Sistema binário, Álgebra booleana, Representação numérica, Computação, Matemática aplicada		https://drive.google.com/file/d/1F1cKSnw1jUo-H7YlClXdUtemFmOMk09k/view?usp=sharing		https://photos.app.goo.gl/tzBYqM6occhFW6YJ7		https://www.youtube.com/playlist?list=PLHiOaPPoa2tCRv_wNtYyxoVxgoLQBPSMs	5	xxxx	Peça	Números	Números	xxxx	EM01	EM01	17 cm x 45 cm x 18 cm	0,10000	R$ 150,00	MUDI
P070		FALSE	TRUE	Somador Binário	Peça em madeira tipo Caixeta, MDF e acrílico, composta por trilhas verticais e mecanismos internos que representam bits do sistema binário.	Compreender o procedimento de soma no sistema de numeração binária e visualizar, de forma concreta, o mecanismo de transporte entre posições.	O visitante escolhe dois números, converte-os para binário usando a tabela e coloca bolinhas nas colunas correspondentes aos bits iguais a 1. Ao acionar a alavanca, as bolinhas descem pelas trilhas internas, que aplicam mecanicamente as regras da soma binária, incluindo os “vai-um”. Ao final, as bolinhas que permanecem na linha inferior representam o resultado em binário, que pode ser convertido de volta para decimal.	Sistema binário; soma bit a bit; transporte; algoritmos; representação numérica; computação mecânica.		https://drive.google.com/file/d/138sAciuVYOc23i_pf_8UzWo1sKQfsS0N/view?usp=sharing		https://photos.app.goo.gl/UfwJ9BbmQhwEMqbB6		https://www.youtube.com/playlist?list=PLHiOaPPoa2tCipO3ENgppfqPHSD8kcvop	3	Foi pensado em refaê-la.	Peça	Números	Números	A028	xxxx	xxxx	80 cm x 100 cm x 25 cm	28,50000	R$500,00	LDM
P071		FALSE	TRUE	Mágica com Números	Peça em MDF com leds, interruptores e uso de energia elétrica	Apresentar a representação binária dos números de 0 a 31 (ou até 127, conforme versão) através de um mecanismo de adivinhação	O visitante pensa em um número entre 1 e 127, identifica as colunas em que o número aparece e acende os interruptores correspondentes. O número pensado é a soma dos valores indicados no topo das colunas acesas	Sistema binário, soma de potências de dois, álgebra booleana, representação numérica, lógica matemática		https://drive.google.com/file/d/1ApK4hR-PEDiIndaoPqTYv18d9f1bUM32/view?usp=sharing		https://photos.app.goo.gl/kwd2ipP8qeeAMbFLA		https://www.youtube.com/playlist?list=PLHiOaPPoa2tAN4J4lqPOSxD8sTSaEicfx	5	xxxx	Peça	Números	Números	A017	xxxx	xxxx	20 cm x 80 cm x 110 cm	25,00000	R$ 250,00	MUDI
P072		FALSE	TRUE	O Quarto de Ames	Caixa em madeira tipo MDF branca, com detalhes em caixeta (um deles pintado de verde) e parte superior em MDF marrom. Externamente parece uma casa; internamente, um quarto distorcido	Perceber as limitações da visão como parte de um processo conclusivo de observação de um fenômeno físico	Ao olhar pela fechadura, o visitante vê duas bonecas aparentemente de tamanhos diferentes. Na realidade, são iguais, e a ilusão é causada pelo formato trapezoidal do quarto, com piso e teto inclinados	Ilusão de ótica, perspectiva, percepção visual, limites da visão, psicologia da percepção		https://drive.google.com/file/d/1kRGjuAk38Kqt_4XDNHVSSJF6DbejdMUi/view?usp=sharing		https://photos.app.goo.gl/8y1ZtLaxHoRC36C3A		https://www.youtube.com/playlist?list=PLHiOaPPoa2tAHvl7ya8j-AwFHGsSxhZLq	5	xxxx	Peça	Materiais Lúdicos	Materiais Lúdicos	A015;A017;A038	EM01	EM01	63 cm x 70 cm x 65 cm	17,60000	R$500,00	LDM
P073		FALSE	TRUE	Comparando Áreas	Peça em MDF com 1 face branca e contornos em madeira tipo caixeta, acompanhada de 4 peças com desenho quadriculado	Mostrar que observações visuais podem enganar e que, em matemática, é preciso verificar com cálculos	O visitante deve montar um quadrado (área 64) e um retângulo (área 65) usando as mesmas quatro peças. A aparente contradição vem do fato de que as peças não se encaixam perfeitamente, gerando uma diferença de 1 unidade de área	Sofisma geométrico; Sequência de Fibonacci; Área de figuras planas; Ilusão matemática		https://drive.google.com/file/d/1SC5kicVmPOqj3Zd3k1nIAEN39jizFG1z/view?usp=sharing		https://photos.app.goo.gl/fdrwwGicYNXQJRF66		https://www.youtube.com/playlist?list=PLHiOaPPoa2tBkkoTIxD-Jn1pSzKy8hvOr	5	xxxx	Peça	Materiais Lúdicos	Materiais Lúdicos	xxxx	EM01	EM01	50 cm x 75 cm x 6 cm	6,20000	R$ 350,00	LDM
P074		FALSE	TRUE	O Triângulo de Paul Curry	Peça em MDF com 1 face branca e contornos em madeira tipo caixeta. Acompanha 4 peças em laminado com desenho quadriculado	Mostrar que a conclusão em matemática não pode se apoiar apenas em observações de figuras; destacar ilusões visuais e sofismas	O visitante deve montar um triângulo com as quatro peças. Em uma configuração, o triângulo parece perfeito; em outra, sobra um quadradinho. O efeito se deve à diferença de inclinação entre os triângulos componentes	Paradoxo geométrico, sofisma, equidecomponibilidade, sequência de Fibonacci, percepção visual		https://drive.google.com/file/d/1TysvL8HVXGiovCYDlN1plVIYrNJtFhTu/view?usp=sharing		https://photos.app.goo.gl/zgy25oMAkQKZAwpcA		https://www.youtube.com/playlist?list=PLHiOaPPoa2tDwOp3krCGs_fiZz8dNlXLj	5	xxxx	Peça	Materiais Lúdicos	Materiais Lúdicos	xxxx	EM01	EM01	50 cm x 75 cm x 7 cm	5,40000	R$350,00	LDM
P075		FALSE	TRUE	Teorema de Pitágoras I (3,4,5)	Base em madeira com 25 quadradinhos móveis para redistribuição entre dois quadrados menores e um quadrado maior	Demonstrar visualmente que a soma das áreas dos quadrados sobre os catetos é igual à área do quadrado sobre a hipotenusa	O visitante distribui os 25 quadradinhos de forma a preencher os dois quadrados menores e depois reorganiza os mesmos quadrados unitários no quadrado maior, confirmando a relação de áreas do Teorema de Pitágoras	Teorema de Pitágoras, áreas equivalentes, equidecomponibilidade, raciocínio espacial, visualização geométrica		https://drive.google.com/file/d/1HcijGnEnwC2swhIEfyckWeDDHunGFWo_/view?usp=sharing		https://photos.app.goo.gl/9S3h5nLEHmuFLfWYA		https://www.youtube.com/playlist?list=PLHiOaPPoa2tByKp4F6O3Ie1GB80mcqOMU	5	xxxx	Peça	Materiais Lúdicos	Materiais Lúdicos	xxxx	xxxx	xxxx	65 cm x 60 cm x 2,5 cm	6,00000	R$ 350,00	LDM
P076		FALSE	TRUE	Teorema de Pitágoras II (Quadrado)	Base de laminado em caxeta com 8 jogos de quebra-cabeças coloridos	Observar que a área do quadrado maior é a soma das áreas dos dois quadrados menores, verificando o Teorema de Pitágoras	O visitante monta o quadrado maior com as peças escolhidas e, em seguida, reorganiza as mesmas peças para preencher os dois quadrados menores. Assim percebe que as áreas são equivalentes	Teorema de Pitágoras, áreas equivalentes, equidecomponibilidade, raciocínio espacial, demonstrações visuais		https://drive.google.com/file/d/1kWDPepGblgpcGpjPkYWFhXWcDQaY2GgT/view?usp=sharing		https://photos.app.goo.gl/x4xXa26s6CvnxpfP7		https://www.youtube.com/playlist?list=PLHiOaPPoa2tByKp4F6O3Ie1GB80mcqOMU	5	xxxx	Peça	Materiais Lúdicos	Materiais Lúdicos	xxxx	E306	E306	50 cm x 70 cm x 7 cm	7,90000	R$350,00	LDM
P077		FALSE	TRUE	Teorema de Pitágoras III (Hexágono)	Base de laminado em caxeta com 4 jogos de quebra-cabeças coloridos	Observar que a área do hexágono maior é igual à soma das áreas dos dois hexágonos menores, verificando o Teorema de Pitágoras	O visitante escolhe um dos conjuntos de peças, monta o hexágono maior e depois reorganiza as mesmas peças para preencher dois hexágonos menores, concluindo que as áreas são equivalentes	Teorema de Pitágoras, áreas equivalentes, equidecomponibilidade, raciocínio espacial, demonstrações visuais		https://drive.google.com/file/d/1ka5Rd7rEjaDT5F42AflVNeRywE_ij8Ik/view?usp=sharing		https://photos.app.goo.gl/HqNU2fJ35SngrKAY9		https://www.youtube.com/playlist?list=PLHiOaPPoa2tByKp4F6O3Ie1GB80mcqOMU	5	xxxx	Peça	Materiais Lúdicos	Materiais Lúdicos	xxxx	xxxx	xxxx	50 cm x 70 cm x 7 cm	7,90000	R$ 350,00	LDM
P078		FALSE	TRUE	Material Dourado	Conjunto ampliado composto por 611 peças de madeira natural: 1 cubo de milhar, 10 placas de centena, 100 barras de dezenas e 500 cubos de unidade.	Auxiliar no ensino e aprendizagem do sistema de numeração decimal, operações fundamentais, frações decimais, medidas e composição/decomposição de quantidades.	Os blocos representam unidades, dezenas, centenas e milhares. O visitante monta números e realiza operações por meio de trocas entre as peças conforme o sistema decimal.	sistema de numeração decimal, valor posicional, operações fundamentais, composição e decomposição, proporcionalidade, equivalência entre representações		https://drive.google.com/file/d/1lNFfT1OpdcMDVL804Q16cCdSIFucJj4N/view?usp=sharing		https://photos.app.goo.gl/sXSTVG2gSS3ptYv19		https://www.youtube.com/playlist?list=PLHiOaPPoa2tCHjLvn4jwnjyQcIFNm-qo7	5	xxxx	Peça	Materiais Lúdicos	Materiais Lúdicos	xxxx	xxxx	xxxx	60 cm x 60 cm x 30 cm	49,50000	R$500,00	LDM
P079		FALSE	TRUE	Sólidos Geométricos (Superfície)	Conjunto de 37 sólidos geométricos em acrílico transparente, incluindo poliedros convexos regulares, prismas, pirâmides, sólidos de revolução (cilindro, cone), esfera e outras formas básicas. Permite visualizar superfícies, faces, arestas e vértices de modo claro e comparativo.	Proporcionar visualização tridimensional dos sólidos, facilitando o estudo de geometria espacial, classificação de sólidos, contagem de elementos estruturais e reconhecimento de superfícies.	O visitante explora livremente os sólidos, podendo girá-los, compará-los entre si e relacioná-los com objetos conhecidos do cotidiano. A transparência dos modelos facilita observar a “estrutura” das superfícies e distinguir tipos diferentes de sólidos.	Geometria espacial, Poliedros e superfícies, Faces, arestas, vértices, Poliedros regulares,Curvatura e superfícies de revolução, Característica de Euler, Classificação de sólidos		https://drive.google.com/file/d/1saDgWM89XfsHPWpoiFeoUIYlGgNcEYAd/view?usp=sharing		https://photos.app.goo.gl/xQR1abLG8fAmURpE6		https://www.youtube.com/playlist?list=PLHiOaPPoa2tALfh7nyhuFsnNQakjGcxyG	5	xxxx	Peça	Materiais Lúdicos	Materiais Lúdicos	xxxx	xxxx	xxxx	40 cm x 40 cm x 40 cm	13,50000	R$ 1.200,00	LDM
P080		FALSE	TRUE	Geoespaço	Estrutura cúbica de madeira com pinos dispostos em malha nas bases. Fios ou elásticos podem ser presos aos pinos, permitindo a construção de figuras geométricas no espaço	Explorar conceitos de geometria espacial de forma prática, visual e manipulativa	O visitante prende fios entre os pinos para representar vértices, arestas e faces de poliedros e outras formas espaciais	Geometria espacial, poliedros, prismas, pirâmides, diagonais, seções planas, volume e simetria		https://drive.google.com/file/d/1JXAsyyoOk13VIelGLAUIAz_6A2tS-tK5/view?usp=sharing		https://photos.app.goo.gl/Aqyq2EDey4x89CTd8		https://www.youtube.com/playlist?list=PLHiOaPPoa2tDWL12_54yyAsosvsgdqPAC	5	xxxx	Peça	Materiais Lúdicos	Materiais Lúdicos	A031	xxxx	xxxx	40 cm x 40 cm x 67 cm	5,50000	R$300,00	LDM
P081		FALSE	TRUE	Sólidos Geométricos (Estrutura)	Conjunto de 20 estruturas geométricas em ferro, incluindo poliedros convexos regulares, prismas e pirâmides, permitindo observar apenas a estrutura formada por vértices e arestas. Facilita a visualização dos elementos constituintes dos sólidos e de suas relações.	Proporcionar visualização clara da estrutura tridimensional dos sólidos geométricos, auxiliando no estudo das relações entre faces, arestas e vértices, e no entendimento da característica de Euler.	Os modelos ficam organizados de forma acessível para manipulação livre. O visitante pode segurar, girar, comparar um sólido com outro e observar o que muda e o que permanece entre eles. A estrutura metálica deixa clara a “ossatura” de cada sólido, permitindo visualizar além da superfície externa.	Poliedros, Estrutura combinatória, Poliedros regulares, Prismas e pirâmides, Característica de Euler, Geometria espacial.		https://drive.google.com/file/d/10TbMCE9ONt9-baPLzHd3fiU11aG2y8GH/view?usp=sharing		https://photos.app.goo.gl/tQ4Ne3Ambv7HHYoy6		https://www.youtube.com/playlist?list=PLHiOaPPoa2tCOzs87SSykvI1l6ZdHnRiZ	5	xxxx	Peça	Materiais Lúdicos	Materiais Lúdicos	xxxx	xxxx	xxxx	40 cm x 40 cm x 30 cm	13,60000	R$ 500,00	LDM
P082		FALSE	TRUE	Geoplano	Materiais Lúdicos	Desenvolver habilidades de raciocínio geométrico, espacial e algébrico por meio da manipulação de figuras	O visitante prende elásticos nos pinos para criar polígonos, figuras simétricas, calcular perímetros e áreas, representar frações e até funções matemáticas	Geometria plana, perímetro, área, frações, simetrias, Teorema de Pitágoras, funções, combinatória		https://drive.google.com/file/d/16qFqhCs0imfr_Mpm53k-cEm-rdpCKmL9/view?usp=sharing		https://photos.app.goo.gl/7CZYty89bY47dgbP6		https://www.youtube.com/playlist?list=PLHiOaPPoa2tDQ0I8wSLy9AH2w0UVaBurF	5	xxxx	Peça	Materiais Lúdicos	Materiais Lúdicos	A031	xxxx	xxxx	50 cm x 60 cm x 5 cm	3,90000	R$200,00	LDM
P083		FALSE	TRUE	Ladrilhamento Plano	498 peças em MDF pintados em diversas cores (amarelo, vermelho, verde e azul) e diversos formatos (quadrado, triângulo, pentágono, hexágono, heptágono, octógono, decágono, dodecágono, pentadecágono, pentagóno irregular e quadrilátero irregular) numa caixa cuja tampa é é a base de pavimentação	Descobrir formas de pavimentar o plano	O visitante utiliza a base da tampa da caixa como plano de montagem, combinando livremente os polígonos para criar padrões sem sobreposição nem lacunas. A montagem pode seguir instruções, padrões sugeridos ou ser completamente livre. Com isso, o visitante testa visualmente quais combinações de figuras são capazes de pavimentar o plano e quais não são — e por quê	Geometria, mosaico, ladrilhamento, polígonos		https://drive.google.com/file/d/1p8SIg9twD-Dn3QzyNr-qNlisVkK2fBuo/view?usp=sharing		https://photos.app.goo.gl/hWzPV4MHi7SM7J5m7		https://www.youtube.com/playlist?list=PLHiOaPPoa2tBs5w9jvVPIIINh69e32IsO	5	xxxx	Peça	Materiais Lúdicos	Materiais Lúdicos	xxxx	EM01	EM01	60 cm x 60 cm x 17 cm	19,10000	R$ 500,00	LDM
P084		FALSE	TRUE	Blocos Deslizantes I	Peça constituída por uma base e cinco peças de encaixes produzidos em madeira caxeta	Testar a capacidade de raciocínio	Num quebra-cabeças com Blocos Deslizantes I, as peças poderão ser movimentadas respeitando as seguintes condições: 1. Os movimentos poderão ser somente nas direções vertical e horizontal; 2. As peças não poderão ser giradas; 3. As peças deverão permanecer em contato com a base. O objetivo é colocar uma das peças da base, movimentando as outras peças até que, eventualmente, ela atinja uma determinada posição	Geometria, jogos do tipo "escape"		https://drive.google.com/file/d/12jCoz38uYFgt4SHWqRmVgjYV7xE40Dol/view?usp=sharing		https://photos.app.goo.gl/1CF7QAHjkib6wAoUA		https://www.youtube.com/playlist?list=PLHiOaPPoa2tAu3m12dhcbLdpTQVFUuydP	5	xxxx	Peça	Jogos e Quebra-Cabeças	Jogos e Quebra-Cabeças	xxxx	xxxx	xxxx	21 cm x 29 cm x 7 cm	0,20000	R$150,00	LDM
P085		FALSE	TRUE	Torre de Hanói	Base em madeira caxeta com formato triangular, três pinos e 7 a 8 discos triangulares de diferentes tamanhos	Testar a capacidade de raciocínio lógico, planejamento e estratégia	O visitante deve transferir todos os discos de uma haste para outra, movendo apenas um disco por vez e nunca colocando um disco maior sobre um menor	Progressão geométrica, potenciação, raciocínio lógico, recursividade, planejamento estratégico		https://drive.google.com/file/d/1keilu_skuxSL1pb367biort0pGnlo2r_/view?usp=sharing		https://photos.app.goo.gl/SJ7mh4NUiHAdgyNS6		https://www.youtube.com/playlist?list=PLHiOaPPoa2tBu3HtqpU3q4Hn22zD1EvEl	5	xxxx	Peça	Jogos e Quebra-Cabeças	Jogos e Quebra-Cabeças	xxxx	xxxx	xxxx	40 cm x 36 cm x 15 cm	0,20000	R$ 150,00	LDM
